linker,family,smiles,yield,purity,reproducibility
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.47,0.64,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.42,0.49,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.42,0.54,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.45,0.72,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.53,0.45,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.55,0.66,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.65,0.66,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.65,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.32,0.61,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.29,0.57,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.37,0.54,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.49,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.25,0.46,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.65,0.76,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.6,0.45,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.27,0.67,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.46,0.61,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.5,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.6,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.66,0.7,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.57,0.58,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.55,0.49,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.47,0.46,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.4,0.72,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.35,0.36,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.49,0.56,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.44,0.57,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.61,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.41,0.55,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.41,0.54,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.26,0.49,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.49,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.17,0.34,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.7,0.56,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.59,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.25,0.56,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.48,0.59,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.56,0.68,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.56,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.59,0.62,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.6,0.5,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.43,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.34,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.42,0.64,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.41,0.35,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.47,0.53,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.72,0.39,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.26,0.6,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.28,0.5,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.24,0.6,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.3,0.47,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.27,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.16,0.28,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.41,0.68,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.61,0.39,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.27,0.5,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.4,0.53,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.52,0.64,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.5,0.54,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.5,0.65,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.54,0.47,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.39,0.53,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.56,0.34,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.34,0.62,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.31,0.28,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.43,0.56,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.68,0.63,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.26,0.65,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.36,0.49,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.17,0.6,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.2,0.42,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.23,0.57,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.09,0.29,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.69,0.69,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.46,0.33,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.42,0.56,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.29,0.54,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.47,0.66,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.46,0.54,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.46,0.67,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.58,0.49,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.45,0.51,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.34,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.38,0.64,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.32,0.27,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.45,0.52,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.43,0.5,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.2,0.53,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.29,0.46,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.22,0.63,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.19,0.46,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.17,0.54,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.06,0.27,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.59,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0,0.27,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.42,0.47,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.41,0.48,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.39,0.61,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.37,0.44,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.42,0.67,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.41,0.41,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.52,0.56,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.35,0.29,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.35,0.61,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.31,0.26,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.48,0.47,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.58,0.55,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.21,0.56,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.24,0.43,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.22,0.55,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.09,0.37,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0,0.5,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.03,0.27,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.62,0.63,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.29,0.31,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.31,0.45,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.29,0.49,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.35,0.53,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.52,0.47,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.46,0.59,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.39,0.44,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.49,0.55,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.48,0.37,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.49,0.61,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.3,0.52,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.47,0.66,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.6,0.81,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.16,0.76,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.27,0.71,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.27,0.5,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0,0.65,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.13,0.57,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.12,0.54,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.59,0.74,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.38,0.6,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.34,0.7,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.4,0.71,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.35,0.75,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.57,0.75,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.47,0.61,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.39,0.69,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.45,0.6,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.38,0.55,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.49,0.66,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.28,0.48,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.51,0.69,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.75,0.56,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.22,0.73,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.3,0.62,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.39,0.51,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.2,0.6,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.19,0.45,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.08,0.41,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.66,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.49,0.51,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.48,0.66,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.63,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.33,0.69,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.46,0.67,0.75
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.47,0.6,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.48,0.69,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.4,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.37,0.48,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.42,0.67,1
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.41,0.43,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.56,0.63,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.63,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.21,0.69,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.26,0.58,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.35,0.55,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.18,0.62,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.21,0.45,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.07,0.39,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.68,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.39,0.5,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.29,0.61,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.47,0.66,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.47,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.7,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.66,0.63,0.75
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.48,0.66,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.45,0.51,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.46,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.51,0.69,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.5,0.44,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.52,0.67,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.67,0.7,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.42,0.76,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.43,0.58,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.29,0.52,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.25,0.61,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.27,0.47,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.15,0.39,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.61,0.72,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.61,0.49,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.37,0.65,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.49,0.64,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.42,0.72,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.61,0.66,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.65,0.67,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.51,0.65,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.52,0.5,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.31,0.53,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.42,0.72,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.58,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.55,0.66,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.72,0.84,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.36,0.69,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.64,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.42,0.58,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.33,0.53,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.35,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.21,0.46,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.71,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.65,0.45,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.38,0.68,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0,0.56,1
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.5,0.74,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0,0.55,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.67,0.7,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.6,0.58,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.56,0.5,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0,0.41,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.37,0.72,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.37,0.36,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.53,0.56,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.61,0.59,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.53,0.66,1
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.5,0.56,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0,0.5,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.33,0.5,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.35,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.17,0.34,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0,0.7,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.63,0.46,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.31,0.57,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.38,0.58,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.62,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.6,0.56,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.74,0.41,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.73,0.29,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.6,0.49,1
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.52,0.39,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.26,0.62,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.33,0.34,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.6,0.54,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.68,0.61,0.25
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0,0.57,0.25
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.26,0.49,0.5
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.38,0.61,0.5
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.29,0.47,0.5
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.26,0.52,0.75
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.08,0.27,0.5
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.53,0.69,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.52,0.38,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.36,0.51,0.75
2-methylimidazole,Azole,Cc1ncc[nH]1,0.38,0.52,0.75
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.47,0.64,0.5
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.57,0.54,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.55,0.65,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.42,0.45,0.75
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.58,0.55,0.25
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.34,0.32,1
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.37,0.63,0.75
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.3,0.27,0.75
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.52,0.57,1
2-methylimidazole,Azole,Cc1ncc[nH]1,0.58,0.62,0.5
Trimesic acid,Triacid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.32,0.65,0.75
H2BDC-NH2,BDC,Nc1cc(C(=O)O)ccc1C(=O)O,0.33,0.49,0.25
H2BDC-F,BDC,O=C(O)c1cc(F)ccc1C(=O)O,0.28,0.61,0.25
"1,4-NDC",Naphthalene diacid,O=C(O)c1ccc2cccc(C(=O)O)c2c1,0.21,0.42,1
"2,6-NDC",Naphthalene diacid,O=C(O)c1cccc2c1ccc(C(=O)O)c2,0.3,0.58,0.5
"4,4'-BPDC",Biphenyl diacid,O=C(O)c1ccc(cc1)-c2ccc(cc2)C(=O)O,0.16,0.3,0.75
Benzimidazole,Azole,c1ccc2[nH]cnc2c1,0.38,0.66,0.5
H2BDC,BDC,O=C(O)c1ccc(cc1)C(=O)O,0.47,0.33,1
Fumaric acid,Aliphatic diacid,O=C(O)/C=C/C(=O)O,0.24,0.54,0.75
